study,subject_nr,amount_pair,delay_pair,amount_similarity,delay_similarity,itc_control_choice,itc_amount_social_info,itc_delay_social_info,amount_delay_social_info,itc_social_choice,miss_score,median_miss_score,suggestibility_level,sns_score,sns_level,overall_bnt_score,age,ethnicity,gender,control_social,amount_delay,similarity_judgment,task_social_info,social_info
1,101,17_23,7_12,0,1,1,0,1,D_S,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,48_55,22_27,0,1,1,0,1,D_S,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,7_12,47_53,0,1,1,1,0,S_D,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,47_53,22_27,0,1,0,1,0,S_D,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,24_31,13_18,0,1,1,1,1,S_S,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,10_15,24_30,0,1,0,0,1,D_S,0,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,42_48,19_24,0,1,1,0,1,D_S,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,5_11,10_15,0,1,1,0,0,D_D,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,19_24,12_18,0,1,0,0,0,D_D,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,4_8,17_23,0,1,1,1,1,S_S,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,41_48,19_24,0,1,1,1,1,S_S,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,25_30,36_42,0,1,0,0,1,D_S,0,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,47_54,22_27,0,1,1,0,0,D_D,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,11_18,4_8,0,1,1,1,0,S_D,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,5_12,10_15,0,1,1,0,1,D_S,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,36_43,16_21,0,1,1,0,0,D_D,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,13_18,29_36,0,1,1,1,1,S_S,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,29_36,25_30,0,1,1,0,0,D_D,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,4_8,18_25,0,0,1,0,1,D_S,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,16_21,6_13,0,0,0,1,1,S_S,0,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,35_41,16_21,0,1,0,1,1,S_S,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,4_8,17_24,0,0,1,1,0,S_D,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,24_30,13_18,0,1,1,0,1,D_S,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,7_12,48_55,0,1,1,1,1,S_S,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,23_29,13_18,0,1,1,0,0,D_D,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,12_19,4_8,0,1,0,1,1,S_S,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,42_49,19_24,0,1,1,0,0,D_D,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,30_37,25_30,0,1,1,1,0,S_D,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,22_27,42_48,0,1,1,0,1,D_S,0,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,6_12,10_15,0,1,1,1,0,S_D,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,16_21,6_12,0,1,0,0,1,D_S,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
